JobID|JobIDRaw|Cluster|Partition|Account|Group|GID|User|UID|Submit|Eligible|Start|End|Elapsed|ExitCode|State|NNodes|NCPUS|ReqCPUS|ReqMem|ReqGRES|Timelimit|QOS|NodeList|JobName|NTasks
1034|1034|micro|normal|account2|user4|1004|user4|1004|2021-02-11T23:15:36|2021-02-11T23:15:36|2021-02-11T23:15:37|2021-02-11T23:15:37|00:00:00|0:0|COMPLETED|4|48|48|2800Mc||00:20:00|normal|m2,n[2-4]|jobid_1034|
1035|1035|micro|normal|account1|user2|1002|user2|1002|2021-02-11T23:18:19|2021-02-11T23:18:19|2021-02-11T23:18:20|2021-02-11T23:20:20|00:02:00|0:0|COMPLETED|2|24|24|2800Mc||00:09:00|normal|n[2-3]|jobid_1035|
1036|1036|micro|normal|account1|user1|1001|user1|1001|2021-02-11T23:18:39|2021-02-11T23:18:39|2021-02-11T23:45:01|2021-02-11T23:54:03|00:09:02|0:0|COMPLETED|1|12|12|2800Mc||00:21:00|normal|m4|jobid_1036|
1037|1037|micro|normal|account1|user3|1003|user3|1003|2021-02-11T23:18:50|2021-02-11T23:18:50|2021-02-12T00:50:40|2021-02-12T00:55:42|00:05:02|0:0|COMPLETED|3|36|36|2800Mc||00:08:00|normal|m[1-3]|jobid_1037|
1038|1038|micro|normal|account1|user1|1001|user1|1001|2021-02-11T23:19:14|2021-02-11T23:19:14|2021-02-11T23:45:31|2021-02-11T23:49:21|00:03:50|0:0|COMPLETED|1|12|12|2800Mc|gpu:2|00:07:00|normal|g1|jobid_1038|
1039|1039|micro|normal|account1|user3|1003|user3|1003|2021-02-11T23:19:15|2021-02-11T23:19:15|2021-02-11T23:30:50|2021-02-11T23:40:48|00:09:58|0:0|COMPLETED|8|96|96|2800Mc||00:16:00|normal|g1,m[2-4],n[1-4]|jobid_1039|
1040|1040|micro|normal|account1|user1|1001|user1|1001|2021-02-11T23:23:08|2021-02-11T23:23:08|2021-02-11T23:23:30|2021-02-11T23:28:52|00:05:22|0:0|COMPLETED|2|24|24|2800Mc||00:06:00|normal|n[1-2]|jobid_1040|
1041|1041|micro|normal|account1|user1|1001|user1|1001|2021-02-11T23:23:40|2021-02-11T23:23:40|2021-02-11T23:54:02|2021-02-11T23:59:47|00:05:45|0:0|COMPLETED|1|1|1|2800Mc|gpu:1|00:08:00|normal|g1|jobid_1041|
1042|1042|micro|normal|account1|user3|1003|user3|1003|2021-02-11T23:24:00|2021-02-11T23:24:00|2021-02-12T00:09:04|2021-02-12T00:15:19|00:06:15|0:0|COMPLETED|1|12|12|2800Mc||00:20:00|normal|g1|jobid_1042|
1043|1043|micro|normal|account2|user4|1004|user4|1004|2021-02-11T23:24:02|2021-02-11T23:24:02|2021-02-11T23:24:30|2021-02-11T23:25:30|00:01:00|0:0|COMPLETED|1|1|1|2800Mc||00:12:00|normal|g1|jobid_1043|
1044|1044|micro|normal|account2|user5|1005|user5|1005|2021-02-11T23:27:09|2021-02-11T23:27:09|2021-02-12T00:16:05|2021-02-12T00:19:53|00:03:48|0:0|COMPLETED|1|12|12|2800Mc||00:26:00|normal|n4|jobid_1044|
